Name,Team,cluster,K%,BB%,K-BB%,HR%,FIP,WHIP,IP/G,WAR▼,WAR_predicted
페디,23 P,1,0.295,0.049,0.246,0.013,2.22,0.95,6.003,7.63,6.713
고영표,23 P,2,0.161,0.027,0.135,0.01,3.19,1.15,6.221,6.05,5.837
안우진,23 P,1,0.27,0.062,0.207,0.008,2.33,1.06,6.258,5.94,6.255
후라도,23 P,2,0.193,0.054,0.139,0.009,3.15,1.12,6.107,5.88,5.675
뷰캐넌,23 P,2,0.177,0.055,0.122,0.005,3.05,1.15,6.267,5.57,5.567
알칸타라,23 P,0,0.208,0.045,0.163,0.021,3.38,1.07,6.194,5.36,6.262
반즈,23 P,2,0.2,0.076,0.124,0.008,3.4,1.33,5.67,4.85,4.441
원태인,23 P,0,0.161,0.054,0.107,0.024,4.17,1.27,5.769,3.89,3.969
페냐,23 P,2,0.196,0.079,0.117,0.019,4.06,1.17,5.534,3.7,3.859
박세웅,23 P,2,0.196,0.09,0.107,0.012,3.62,1.32,5.704,3.68,3.768
김광현,23 P,2,0.167,0.098,0.069,0.015,4.19,1.38,5.603,3.63,3.625
양현종,23 P,2,0.182,0.066,0.117,0.018,3.7,1.34,5.897,3.59,3.96
켈리,23 P,2,0.173,0.052,0.121,0.013,3.49,1.24,5.94,3.37,5.061
임찬규,23 P,2,0.163,0.085,0.078,0.016,4.16,1.35,4.807,3.29,3.629
벤자민,23 P,2,0.23,0.066,0.164,0.018,3.14,1.21,5.517,3.14,3.919
최원태,23 P,2,0.187,0.073,0.114,0.019,3.89,1.33,5.623,2.48,2.964
오원석,23 P,2,0.136,0.106,0.029,0.017,4.9,1.57,5.15,1.06,1.575
하트,24 P,1,0.288,0.06,0.228,0.017,3.17,1.03,6.038,6.15,6.286
윌커슨,24 P,0,0.205,0.033,0.172,0.022,3.67,1.21,6.131,6.06,5.867
후라도,24 P,0,0.217,0.041,0.176,0.024,3.89,1.14,6.337,5.8,5.855
반즈,24 P,0,0.274,0.074,0.2,0.029,3.9,1.23,6.008,5.77,5.408
코너,24 P,0,0.238,0.06,0.178,0.032,4.5,1.09,5.714,5.27,5.458
원태인,24 P,0,0.178,0.063,0.115,0.025,4.62,1.2,5.686,5.22,4.87
레예스,24 P,0,0.185,0.049,0.136,0.024,4.31,1.31,5.538,4.47,4.171
쿠에바스,24 P,0,0.209,0.08,0.129,0.023,4.32,1.25,5.584,4.41,4.119
헤이수스,24 P,0,0.245,0.06,0.184,0.03,4.18,1.25,5.703,4.39,4.128
곽빈,24 P,2,0.215,0.106,0.109,0.015,4.21,1.3,5.573,4.39,4.109
양현종,24 P,0,0.177,0.056,0.121,0.029,4.69,1.25,5.9,4.34,4.466
네일,24 P,2,0.215,0.055,0.16,0.017,3.74,1.27,5.735,4.31,4.218
류현진,24 P,2,0.199,0.049,0.15,0.018,3.73,1.36,5.646,3.84,3.846
손주영,24 P,2,0.176,0.085,0.091,0.017,4.62,1.46,5.15,3.78,3.031
엔스,24 P,0,0.22,0.07,0.15,0.022,4.1,1.31,5.573,3.77,3.754
박세웅,24 P,2,0.163,0.074,0.09,0.017,4.57,1.41,5.77,3.52,3.485
엄상백,24 P,0,0.236,0.062,0.173,0.039,4.67,1.31,5.386,3.39,3.407
김광현,24 P,0,0.217,0.103,0.114,0.034,5.18,1.45,5.229,2.97,2.717
하영민,24 P,2,0.151,0.086,0.064,0.012,4.53,1.5,5.361,2.73,2.32
벤자민,24 P,0,0.244,0.075,0.169,0.044,4.94,1.26,5.329,2.71,3.094
폰세,25 P,1,0.362,0.059,0.303,0.014,1.92,0.94,6.214,8.38,7.654
후라도,25 P,0,0.181,0.046,0.135,0.022,3.79,1.08,6.57,7.57,6.912
네일,25 P,1,0.229,0.062,0.167,0.009,3.13,1.07,6.078,6.59,6.357
앤더슨,25 P,1,0.353,0.073,0.28,0.019,2.37,1.0,5.707,6.54,6.241
와이스,25 P,1,0.286,0.077,0.208,0.018,3.12,1.02,5.94,5.95,5.622
잭로그,25 P,1,0.216,0.054,0.162,0.011,3.26,1.05,5.867,5.34,5.605
치리노스,25 P,2,0.186,0.049,0.137,0.007,3.13,1.18,5.9,5.21,5.252
원태인,25 P,0,0.161,0.04,0.121,0.03,4.36,1.1,6.156,4.91,5.335
임찬규,25 P,2,0.16,0.06,0.1,0.013,3.82,1.27,5.93,4.9,4.407
라일리,25 P,1,0.305,0.079,0.226,0.025,3.12,1.12,5.733,4.34,4.539
고영표,25 P,2,0.225,0.044,0.181,0.015,3.14,1.24,5.552,4.17,4.401
손주영,25 P,2,0.205,0.076,0.129,0.012,3.49,1.32,5.1,3.82,3.711
소형준,25 P,2,0.199,0.047,0.152,0.01,2.99,1.25,5.658,3.72,4.338
올러,25 P,1,0.273,0.076,0.197,0.013,2.9,1.15,5.731,3.61,4.261
송승기,25 P,2,0.199,0.078,0.121,0.024,4.1,1.38,5.143,3.55,3.468
콜어빈,25 P,2,0.197,0.122,0.076,0.014,4.59,1.53,5.15,2.57,2.304
헤이수스,25 P,0,0.232,0.062,0.17,0.024,3.65,1.33,5.1,2.47,3.268
로건,25 P,2,0.194,0.087,0.106,0.023,4.39,1.43,5.406,2.41,2.84
박세웅,25 P,2,0.216,0.075,0.141,0.021,3.84,1.48,5.524,1.95,2.028
김광현,25 P,2,0.217,0.079,0.138,0.02,3.77,1.49,5.143,1.62,1.784
하영민,25 P,2,0.2,0.061,0.139,0.019,3.79,1.37,5.468,1.41,3.363
양현종,25 P,2,0.161,0.084,0.077,0.018,4.35,1.49,5.1,0.86,1.471
