Name,Team,K%,BB%,K-BB%,HR%,FIP,WHIP,IP/G,WAR▼
페디,23 P,0.295,0.049,0.246,0.013,2.22,0.95,6.003,7.63
고영표,23 P,0.161,0.027,0.135,0.01,3.19,1.15,6.221,6.05
안우진,23 P,0.27,0.062,0.207,0.008,2.33,1.06,6.258,5.94
후라도,23 P,0.193,0.054,0.139,0.009,3.15,1.12,6.107,5.88
뷰캐넌,23 P,0.177,0.055,0.122,0.005,3.05,1.15,6.267,5.57
알칸타라,23 P,0.208,0.045,0.163,0.021,3.38,1.07,6.194,5.36
반즈,23 P,0.2,0.076,0.124,0.008,3.4,1.33,5.67,4.85
원태인,23 P,0.161,0.054,0.107,0.024,4.17,1.27,5.769,3.89
페냐,23 P,0.196,0.079,0.117,0.019,4.06,1.17,5.534,3.7
박세웅,23 P,0.196,0.09,0.107,0.012,3.62,1.32,5.704,3.68
Name,Team,,,,,,,,
Name,Team,,,,,,,,
김광현,23 P,0.167,0.098,0.069,0.015,4.19,1.38,5.603,3.63
양현종,23 P,0.182,0.066,0.117,0.018,3.7,1.34,5.897,3.59
켈리,23 P,0.173,0.052,0.121,0.013,3.49,1.24,5.94,3.37
임찬규,23 P,0.163,0.085,0.078,0.016,4.16,1.35,4.807,3.29
벤자민,23 P,0.23,0.066,0.164,0.018,3.14,1.21,5.517,3.14
최원태,23 P,0.187,0.073,0.114,0.019,3.89,1.33,5.623,2.48
오원석,23 P,0.136,0.106,0.029,0.017,4.9,1.57,5.15,1.06
하트,24 P,0.288,0.06,0.228,0.017,3.17,1.03,6.038,6.15
윌커슨,24 P,0.205,0.033,0.172,0.022,3.67,1.21,6.131,6.06
후라도,24 P,0.217,0.041,0.176,0.024,3.89,1.14,6.337,5.8
반즈,24 P,0.274,0.074,0.2,0.029,3.9,1.23,6.008,5.77
코너,24 P,0.238,0.06,0.178,0.032,4.5,1.09,5.714,5.27
원태인,24 P,0.178,0.063,0.115,0.025,4.62,1.2,5.686,5.22
레예스,24 P,0.185,0.049,0.136,0.024,4.31,1.31,5.538,4.47
쿠에바스,24 P,0.209,0.08,0.129,0.023,4.32,1.25,5.584,4.41
헤이수스,24 P,0.245,0.06,0.184,0.03,4.18,1.25,5.703,4.39
곽빈,24 P,0.215,0.106,0.109,0.015,4.21,1.3,5.573,4.39
Name,Team,,,,,,,,
Name,Team,,,,,,,,
양현종,24 P,0.177,0.056,0.121,0.029,4.69,1.25,5.9,4.34
네일,24 P,0.215,0.055,0.16,0.017,3.74,1.27,5.735,4.31
류현진,24 P,0.199,0.049,0.15,0.018,3.73,1.36,5.646,3.84
손주영,24 P,0.176,0.085,0.091,0.017,4.62,1.46,5.15,3.78
엔스,24 P,0.22,0.07,0.15,0.022,4.1,1.31,5.573,3.77
박세웅,24 P,0.163,0.074,0.09,0.017,4.57,1.41,5.77,3.52
엄상백,24 P,0.236,0.062,0.173,0.039,4.67,1.31,5.386,3.39
김광현,24 P,0.217,0.103,0.114,0.034,5.18,1.45,5.229,2.97
하영민,24 P,0.151,0.086,0.064,0.012,4.53,1.5,5.361,2.73
벤자민,24 P,0.244,0.075,0.169,0.044,4.94,1.26,5.329,2.71
폰세,25 P,0.362,0.059,0.303,0.014,1.92,0.94,6.214,8.38
후라도,25 P,0.181,0.046,0.135,0.022,3.79,1.08,6.57,7.57
네일,25 P,0.229,0.062,0.167,0.009,3.13,1.07,6.078,6.59
앤더슨,25 P,0.353,0.073,0.28,0.019,2.37,1.0,5.707,6.54
와이스,25 P,0.286,0.077,0.208,0.018,3.12,1.02,5.94,5.95
잭로그,25 P,0.216,0.054,0.162,0.011,3.26,1.05,5.867,5.34
치리노스,25 P,0.186,0.049,0.137,0.007,3.13,1.18,5.9,5.21
원태인,25 P,0.161,0.04,0.121,0.03,4.36,1.1,6.156,4.91
임찬규,25 P,0.16,0.06,0.1,0.013,3.82,1.27,5.93,4.9
라일리,25 P,0.305,0.079,0.226,0.025,3.12,1.12,5.733,4.34
Name,Team,,,,,,,,
Name,Team,,,,,,,,
고영표,25 P,0.225,0.044,0.181,0.015,3.14,1.24,5.552,4.17
손주영,25 P,0.205,0.076,0.129,0.012,3.49,1.32,5.1,3.82
소형준,25 P,0.199,0.047,0.152,0.01,2.99,1.25,5.658,3.72
올러,25 P,0.273,0.076,0.197,0.013,2.9,1.15,5.731,3.61
송승기,25 P,0.199,0.078,0.121,0.024,4.1,1.38,5.143,3.55
콜어빈,25 P,0.197,0.122,0.076,0.014,4.59,1.53,5.15,2.57
헤이수스,25 P,0.232,0.062,0.17,0.024,3.65,1.33,5.1,2.47
로건,25 P,0.194,0.087,0.106,0.023,4.39,1.43,5.406,2.41
박세웅,25 P,0.216,0.075,0.141,0.021,3.84,1.48,5.524,1.95
김광현,25 P,0.217,0.079,0.138,0.02,3.77,1.49,5.143,1.62
Name,Team,,,,,,,,
Name,Team,,,,,,,,
하영민,25 P,0.2,0.061,0.139,0.019,3.79,1.37,5.468,1.41
양현종,25 P,0.161,0.084,0.077,0.018,4.35,1.49,5.1,0.86
